rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_group,clean_provider_model_class,behavioral_primary_flag,behavioral_name_review_flag,revenue_source_method,net_patient_revenue_model,outpatient_exposure_used,outpatient_repricing_pressure,uncompensated_care_offset,stabilization_support,net_provider_impact,net_provider_impact_pct_of_npr,stabilization_tier,stabilization_basis
824549,174022,OSAWATOMIE STATE HOSPITAL,OSAWATOMIE,KS,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,1261450,6818534.6,-681853.46,0,0,-681853.46,-0.540531499464902,Tier 0 - not eligible,none
824120,314013,TRENTON PSYCHIATRIC HOSPITAL,W. TRENTON,NJ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,2651352,11735926.6,-1173592.66,0,0,-1173592.66,-0.442639325144304,Tier 0 - not eligible,none
829574,100298,FLORIDA STATE HOSPITAL,CHATTACHOOCHEE,FL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,4673151,18221958.8,-1822195.88,0,0,-1822195.88,-0.38992873973043,Tier 0 - not eligible,none
825602,314016,GREYSTONE PARK PSYCH. HOSPITAL,GREYSTONE PARK,NJ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,4581218,13282551.1,-1328255.11,0,0,-1328255.11,-0.28993492778558,Tier 0 - not eligible,none
829435,104001,SOUTH FLORIDA STATE HOSPITAL,PEMBROKE PINES,FL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,1761750,4219852.1,-421985.21,0,0,-421985.21,-0.239526158649071,Tier 0 - not eligible,none
825601,314005,ANCORA PSYCHIATRIC HOSPITAL,ANCORA,NJ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,6124099,13374210.3,-1337421.03,0,0,-1337421.03,-0.218386578989007,Tier 0 - not eligible,none
825734,64003,COLORADO MENTAL HEALTH INST-FT LOGAN,DENVER,CO,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,3449599,6295060.5,-629506.05,0,0,-629506.05,-0.182486732515866,Tier 0 - not eligible,none
827961,494021,WESTERN STATE HOSPITAL,STAUNTON,VA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,7459541,11049694.8,-1104969.48,0,0,-1104969.48,-0.14812834730716,Tier 0 - not eligible,none
827821,254009,NORTH MISSISSIPPI STATE HOSPITAL,TUPELO,MS,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,653603,966429,-96642.9,0,0,-96642.9,-0.147861775420247,Tier 0 - not eligible,none
826605,104007,NORTHEAST FLORIDA STATE HOSPITAL,MACCLENNY,FL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,7602808,10598124.9,-1059812.49,0,0,-1059812.49,-0.139397508131206,Tier 0 - not eligible,none
827960,494017,SOUTHERN VIRGINIA MENTAL HEALTH INST,DANVILLE,VA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,2819298,3055074.2,-305507.42,0,0,-305507.42,-0.108362939994282,Tier 0 - not eligible,none
827770,374006,CARL ALBERT COMMUNITY MENTAL HEALTH,MCALESTER,OK,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,8542915,7581479.63071174,-758147.963071175,0,0,-758147.963071175,-0.0887458160441927,Tier 0 - not eligible,none
829827,374008,JIM TALIAFERRO COMM MENTAL HLTH CNTR,LAWTON,OK,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,6868750,5928851.58834846,-592885.158834846,0,0,-592885.158834846,-0.0863163106583944,Tier 0 - not eligible,none
826660,294002,SOUTHERN NEVADA ADULT MENTAL HEALTH,LAS VEGAS,NV,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,13049472,11155790,-1115579,0,0,-1115579,-0.085488439685529,Tier 0 - not eligible,none
825593,294000,NORTHERN NEVADA ADULT MENTAL HEALTH,SPARKS,NV,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,3618460,3076035,-307603.5,0,0,-307603.5,-0.0850095068067631,Tier 0 - not eligible,none
