rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,gross_total_patient_revenue_model,net_patient_revenue_model,net_outpatient_exposure_base_model,net_outpatient_exposure_to_npr_ratio,net_outpatient_exposure_to_gross_ratio,exposure_missing_or_zero_flag,low_exposure_ratio_flag,very_low_exposure_ratio_flag,high_exposure_ratio_flag,uncompensated_care_cost_model,stabilization_tier
822994,452102,COVENANT SPECIALTY HOSPITAL,LUBBOCK,TX,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,125861206,10159006,48.5102820800875,4.77510123333794e-06,3.85426801647582e-07,FALSE,TRUE,TRUE,FALSE,0,Tier 2 - moderate transition support
831881,092002,SPECIALTY HOSPITAL CAPITOL HILL,WASHINGTON DC,DC,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,96651601,61454541,9462.50729113116,0.000153975721519605,9.79032648526036e-05,FALSE,TRUE,TRUE,FALSE,0,Tier 2 - moderate transition support
813637,190251,SURGICAL SPECIALTY CENTER BATON ROUG,BATON ROUGE,LA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,144861189,54371554,49588076.1997419,0.912022418924091,0.342314435923495,FALSE,FALSE,FALSE,TRUE,0,Tier 2 - moderate transition support
811930,390307,EDGEWOOD SURGICAL HOSPITAL,TRANSFER,PA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,93088260,23528584,21872730.656539,0.929623757066681,0.234967660331593,FALSE,FALSE,FALSE,TRUE,6384,Tier 2 - moderate transition support
828433,154008,NUERODIAGNOSTIC INSTITUTE,INDIANAPOLIS,IN,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,81756185,22391166,1369.38667086778,6.11574524912091e-05,1.67496400531382e-05,FALSE,TRUE,TRUE,FALSE,0,Tier 0 - not eligible
828493,264005,SMMHC,FARMINGTON,MO,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,standard_g2_l028_split,98834268,62134832,9125.2467866712,0.000146862017534242,9.23287739296172e-05,FALSE,TRUE,TRUE,FALSE,0,Tier 0 - not eligible
823345,344026,CHERRY HOSPITAL,GOLDSBORO,NC,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,55051524,4712353,5505152.4,1.16823854240122,0.1,FALSE,FALSE,FALSE,TRUE,0,Tier 0 - not eligible
825933,501992,SUNRISE HAVEN,KENT,WA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,553565,494552,205.480765583084,0.00041548869599776,0.000371195371064074,FALSE,TRUE,TRUE,FALSE,0,Tier 0 - not eligible
827611,241991,BEACON HAVEN,NEW BRIGHTON,MN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,578359,578359,285,0.00049277351956138,0.00049277351956138,FALSE,TRUE,TRUE,FALSE,0,Tier 0 - not eligible
829287,451990,THE LEAVES INC.,RICHARDSON,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,2568501,2568501,2387,0.000929335826616381,0.000929335826616381,FALSE,TRUE,TRUE,FALSE,0,Tier 0 - not eligible
812054,491991,LYNN HOUSE OF POTOMAC VALLEY INC.,ALEXANDRIA,VA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,1332345,1327891,5748.71770299735,0.00432920902619066,0.00431473657573477,FALSE,TRUE,FALSE,FALSE,0,Tier 0 - not eligible
824175,431332,DE SMET MEMORIAL HOSPITAL,DE SMET,SD,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,18162430,9051899,8152199.81744711,0.900606581828533,0.448849620752681,FALSE,FALSE,FALSE,TRUE,182079,Tier 0 - not eligible
798270,141318,OSF HOLY FAMILY MED CTR,MONMOUTH,IL,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,134803658,53704595,48457368.1856594,0.902294639511934,0.359466270460253,FALSE,FALSE,FALSE,TRUE,1388123,Tier 0 - not eligible
808025,141310,MENDOTA COMMUNITY HOSPITAL,MENDOTA,IL,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,163864664,60056854,54215876.5594766,0.902742533924214,0.330857643350592,FALSE,FALSE,FALSE,TRUE,1756891,Tier 0 - not eligible
816055,360026,GREENE MEMORIAL HOSPITAL INC.,XENIA,OH,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,212068923,35949634,32490082.304683,0.903766706072252,0.153205296867958,FALSE,FALSE,FALSE,TRUE,1831584,Tier 2 - moderate transition support
826538,361315,HARDIN MEMORIAL HOSPITAL,KENTON,OH,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,105131269,42288102,38249583.1060923,0.904499878147576,0.363826894414185,FALSE,FALSE,FALSE,TRUE,1329927,Tier 0 - not eligible
824545,171308,MERCY HOSPITAL COLUMBUS,COLUMBUS,KS,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,10901960,8044905,7281154.249113,0.905064043529787,0.667875707589553,FALSE,FALSE,FALSE,TRUE,679935,Tier 2 - moderate transition support
823657,450865,ASCENSION SETON SOUTHWEST,AUSTIN,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,246383953,36642727,33228711.7667577,0.90682966272564,0.13486556799727,FALSE,FALSE,FALSE,TRUE,5650397,Tier 4 - critical transition support
810128,181311,ST ELIZABETH - GRANT COUNTY,WILLIAMSTOWN,KY,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,105351254,51652771,46925495.5552433,0.908479732002051,0.445419430463004,FALSE,FALSE,FALSE,TRUE,1587239,Tier 0 - not eligible
811215,521307,ADVENTHEALTH DURAND,DURAND,WI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,37457668,20010790,18268727.8586302,0.91294385971919,0.487716636781291,FALSE,FALSE,FALSE,TRUE,410751,Tier 0 - not eligible
824480,100313,ASCENSION SACRED HEART GULF,PORT SAINT JOE,FL,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,124122683,24003482,22038033.0503431,0.918118173452631,0.177550408335462,FALSE,FALSE,FALSE,TRUE,2814932,Tier 3 - high transition support
823850,141350,ST. FRANCIS HOSPITAL,LITCHFIELD,IL,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,186195524,58956023,54278804.1934741,0.920665971540755,0.291515086009662,FALSE,FALSE,FALSE,TRUE,1337866,Tier 0 - not eligible
824605,261335,MERCY ST FRANCIS HOSPITAL,MOUNTAIN VIEW,MO,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,61599720,25553721,23558417.6587882,0.921917307416332,0.382443583490123,FALSE,FALSE,FALSE,TRUE,1696928,Tier 2 - moderate transition support
824200,451319,CHRISTUS MFH - JACKSONVILLE,JACKSONVILLE,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,546726473,93957128,86930309.9942133,0.925212507498242,0.159001464694418,FALSE,FALSE,FALSE,TRUE,7415541,Tier 2 - moderate transition support
825218,231320,MH-LAKESHORE CAMPUS,SHELBY,MI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,100809918,48179736,44597344.8501849,0.925645272323305,0.442390448628129,FALSE,FALSE,FALSE,TRUE,1721065,Tier 0 - not eligible
824752,151307,ASCENSION ST. VINCENT WILLIAMSPORT,WILLIAMSPORT,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,112058806,26138583,24277579.1002598,0.928802418258856,0.216650346071507,FALSE,FALSE,FALSE,TRUE,3015158,Tier 3 - high transition support
824753,151308,ASCENSION ST. VINCENT MERCY,ELWOOD,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,87842168,25706791,23908998.5755463,0.930065466963429,0.272181335227818,FALSE,FALSE,FALSE,TRUE,2813447,Tier 3 - high transition support
798426,141337,OSF SAINT CLARE MEDICAL CENTER,PRINCETON,IL,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,185702927,72423643,67462235.6019748,0.931494644669763,0.363280410771203,FALSE,FALSE,FALSE,TRUE,1649532,Tier 0 - not eligible
798155,141325,OSF SAINT LUKE MEDICAL CENTER,KEWANEE,IL,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,120460191,52266464,48707184.62373,0.931901278489588,0.404342581722538,FALSE,FALSE,FALSE,TRUE,1873940,Tier 0 - not eligible
824524,151309,ASCENSION ST. VINCENT CLAY,BRAZIL,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,74689325,20126211,18769138.9061827,0.932571903682353,0.25129613778385,FALSE,FALSE,FALSE,TRUE,2303509,Tier 3 - high transition support
824762,161331,MERCY MEDICAL CENTER - NEW HAMPTON,NEW HAMPTON,IA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,42883278,23191316,21708190.0398066,0.936048219075044,0.506215733783377,FALSE,FALSE,FALSE,TRUE,748169,Tier 0 - not eligible
825184,161377,MERCY MEDICAL CENTER-CENTERVILLE,CENTERVILLE,IA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,105351777,44080284,41327071.7172251,0.937540958611453,0.39227693062287,FALSE,FALSE,FALSE,TRUE,1795262,Tier 0 - not eligible
825254,290012,ST. ROSE DOMINICAN - DELIMA,HENDERSON,NV,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,225989674,33215550,31438471.4181009,0.946498595329625,0.139114636795754,FALSE,FALSE,FALSE,TRUE,3164937,Tier 2 - moderate transition support
810812,151324,FRANCISCAN HEALTH RENSSELAER,RENSSELAER,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,131728115,40863332,38741979.7729116,0.948086655608789,0.294105626372256,FALSE,FALSE,FALSE,TRUE,1263820,Tier 0 - not eligible
824523,151303,ASCENSION ST. VINCENT JENNINGS,NORTH VERNON,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,95483571,23028530,21923543.6489534,0.952016635406315,0.229605401425062,FALSE,FALSE,FALSE,TRUE,2958579,Tier 3 - high transition support
824414,521317,ASCENSION CALUMET HOSPITAL,CHILTON,WI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,69012500,31239052,29818836.0882998,0.954537163557327,0.432078769618545,FALSE,FALSE,FALSE,TRUE,1025433,Tier 0 - not eligible
825628,360358,DILEY RIDGE MEDICAL CENTER,CANAL WINCHESTER,OH,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,120241308,27357545,26255201.0520495,0.959706035466614,0.218354253531985,FALSE,FALSE,FALSE,TRUE,2672075,Tier 2 - moderate transition support
824802,231328,ASCENSION ALLEGAN HOSPITAL,ALLEGAN,MI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,64363574,31430130,30208427.7214865,0.961129582393917,0.46934043348007,FALSE,FALSE,FALSE,TRUE,811278,Tier 0 - not eligible
798871,440131,BAPTIST MEM HOSPITAL TIPTON COUNTY,COVINGTON,TN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,1038236774,358659116,344854009.650842,0.961509116224003,0.332153530183898,FALSE,FALSE,FALSE,TRUE,6802019,Tier 0 - not eligible
825176,151314,ASCENSION ST VINCENT SALEM,SALEM,IN,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,67052012,20188552,19651013.3822894,0.97337408756653,0.293071196465953,FALSE,FALSE,FALSE,TRUE,2477236,Tier 3 - high transition support
826102,501340,PEACE ISLAND MEDICAL CENTER,FRIDAY HARBOR,WA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,58366914,29891724,29172576.7239138,0.975941592526204,0.49981358829274,FALSE,FALSE,FALSE,TRUE,1399735,Tier 0 - not eligible
